ts,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz
1787380829,0,0,129315,123.90,1980
1787380830,0,0,129315,123.86,1980
1787380831,0,0,129315,123.81,1980
1787380832,0,0,129315,123.97,1980
1787380833,0,0,129315,124.08,1980
1787380834,0,0,129315,124.09,1980
1787380835,0,0,129315,124.06,1980
1787380836,0,0,129315,124.10,1980
1787380837,0,0,129315,124.14,1980
1787380838,0,0,129315,124.18,1980
1787380839,0,0,129315,124.18,1980
1787380840,0,0,129315,124.25,1980
1787380841,0,0,129315,124.16,1980
1787380842,0,0,129315,124.21,1980
1787380843,0,0,129315,124.24,1980
1787380844,0,0,129315,124.33,1980
1787380845,0,0,129315,124.30,1980
